scenario,technique,T_sel,EN,Recall,Precision,F,acces
D1_recommendation,MetaBP-RTS,852,74.2,0.0,0.0,0,traces
D1_recommendation,Retest-All,3300,0.0,100.0,28.91,0.4485,aucun
D1_recommendation,Firewall-0,954,71.1,100.0,100.0,1.0,code
D1_recommendation,Firewall-1,3300,0.0,100.0,28.91,0.4485,code
D1_recommendation,Random-N(x30),852,74.2,25.7±1.0,28.8±1.1,0.272,aucun
D2_user,MetaBP-RTS,807,75.5,0.0,0.0,0,traces
D2_user,Retest-All,3300,0.0,100.0,31.18,0.4754,aucun
D2_user,Firewall-0,1029,68.8,100.0,100.0,1.0,code
D2_user,Firewall-1,3300,0.0,100.0,31.18,0.4754,code
D2_user,Random-N(x30),807,75.5,24.7±1.0,31.5±1.2,0.277,aucun
D3_search,MetaBP-RTS,989,70.0,0.0,0.0,0,traces
D3_search,Retest-All,3300,0.0,100.0,39.58,0.5671,aucun
D3_search,Firewall-0,1306,60.4,100.0,100.0,1.0,code
D3_search,Firewall-1,3300,0.0,100.0,39.58,0.5671,code
D3_search,Random-N(x30),989,70.0,30.1±1.0,39.7±1.4,0.342,aucun
D4_profile,MetaBP-RTS,1765,46.5,0.0,0.0,0,traces
D4_profile,Retest-All,3300,0.0,100.0,67.7,0.8074,aucun
D4_profile,Firewall-0,2234,32.3,100.0,100.0,1.0,code
D4_profile,Firewall-1,3300,0.0,100.0,67.7,0.8074,code
D4_profile,Random-N(x30),1765,46.5,53.4±0.7,67.6±0.8,0.597,aucun
