scenario,technique,T_sel,EN,Recall,Precision,F
S1_station,Retest-All,2388,0.0,100.0,53.43,0.6965
S1_station,Firewall-0,1276,46.6,100.0,100.0,1.0
S1_station,Firewall-1,1325,44.5,100.0,96.3,0.9812
S1_station,Random-N(x30),1327,44.4,55.5±1.1,53.4±1.1,0.545
S2_order,Retest-All,2388,0.0,100.0,24.58,0.3946
S2_order,Firewall-0,587,75.4,100.0,100.0,1.0
S2_order,Firewall-1,1341,43.8,100.0,43.77,0.6089
S2_order,Random-N(x30),622,74.0,25.6±1.4,24.2±1.3,0.249
S3_basic,Retest-All,2388,0.0,100.0,7.2,0.1344
S3_basic,Firewall-0,172,92.8,100.0,100.0,1.0
S3_basic,Firewall-1,1367,42.8,100.0,12.58,0.2235
S3_basic,Random-N(x30),226,90.5,8.7±2.6,6.6±1.9,0.075
S4_multiple,Retest-All,2388,0.0,100.0,66.21,0.7967
S4_multiple,Firewall-0,1581,33.8,100.0,100.0,1.0
S4_multiple,Firewall-1,1630,31.7,100.0,96.99,0.9847
S4_multiple,Random-N(x30),1609,32.6,67.3±0.6,66.1±0.6,0.667
