scenario,technique,T_sel,EN,Recall,Precision,F,acces
S1_station,Retest-All,2388,0.0,100.0,53.4,0.697,aucun (borne)
S1_station,Random-N×30,1327,44.4,55.8,53.7,0.547,aucun
S1_station,Firewall-0,1276,46.6,100.0,100.0,1.0,graphe de code*
S1_station,Firewall-1,1325,44.5,100.0,96.3,0.981,graphe de code*
S1_station,MRTS-BP*,1362,43.0,100.0,93.7,0.967,logs Gateway**
S1_station,MetaBP-RTS,1327,44.4,100.0,96.2,0.98,traces seules
S2_order,Retest-All,2388,0.0,100.0,24.6,0.395,aucun (borne)
S2_order,Random-N×30,622,74.0,26.2,24.7,0.254,aucun
S2_order,Firewall-0,587,75.4,100.0,100.0,1.0,graphe de code*
S2_order,Firewall-1,1341,43.8,100.0,43.8,0.609,graphe de code*
S2_order,MRTS-BP*,710,70.3,100.0,82.7,0.905,logs Gateway**
S2_order,MetaBP-RTS,622,74.0,100.0,94.4,0.971,traces seules
S3_basic,Retest-All,2388,0.0,100.0,7.2,0.134,aucun (borne)
S3_basic,Random-N×30,226,90.5,9.4,7.2,0.081,aucun
S3_basic,Firewall-0,172,92.8,100.0,100.0,1.0,graphe de code*
S3_basic,Firewall-1,1367,42.8,100.0,12.6,0.224,graphe de code*
S3_basic,MRTS-BP*,197,91.8,100.0,87.3,0.932,logs Gateway**
S3_basic,MetaBP-RTS,226,90.5,100.0,76.1,0.864,traces seules
S4_multiple,Retest-All,2388,0.0,100.0,66.2,0.797,aucun (borne)
S4_multiple,Random-N×30,1609,32.6,67.7,66.5,0.671,aucun
S4_multiple,Firewall-0,1581,33.8,100.0,100.0,1.0,graphe de code*
S4_multiple,Firewall-1,1630,31.7,100.0,97.0,0.985,graphe de code*
S4_multiple,MRTS-BP*,1642,31.2,100.0,96.3,0.981,logs Gateway**
S4_multiple,MetaBP-RTS,1609,32.6,100.0,98.3,0.991,traces seules
